,CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,CLUSTER
18,4563.0,4164.796859,1.0,784.63,617.54,167.09,0.0,0.454545,0.454545,0.181818,0.0,0.0,16.0,9000.0,1072.433416,1311.061985,0.0,11.0,3
19,1243.0,67.377243,1.0,295.0,0.0,295.0,0.0,0.5,0.0,0.416667,0.0,0.0,6.0,1000.0,245.689379,167.126034,0.3,12.0,4
20,409.0,2119.537904,1.0,342.07,270.07,72.0,0.0,0.583333,0.5,0.166667,0.0,0.0,11.0,3000.0,3505.371815,894.910352,0.0,12.0,3
21,8015.0,64.937308,0.636364,442.03,209.0,233.03,0.0,0.583333,0.083333,0.5,0.0,0.0,8.0,1200.0,149.634213,204.316917,0.0,12.0,4
22,6985.0,13.353513,0.636364,717.95,717.95,0.0,0.0,0.636364,0.636364,0.0,0.0,0.0,14.0,5500.0,864.238423,92.807829,0.75,11.0,3
23,1549.0,104.57287,1.0,937.56,630.0,307.56,0.0,0.666667,0.083333,0.666667,0.0,0.0,13.0,6000.0,870.874657,179.369855,0.583333,12.0,1
24,8451.0,147.085066,0.818182,1381.14,1027.14,354.0,0.0,0.666667,0.333333,0.25,0.0,0.0,11.0,2500.0,1457.406626,128.626652,1.0,12.0,1
25,3343.0,888.406678,1.0,347.7,0.0,347.7,0.0,0.75,0.0,0.75,0.0,0.0,9.0,1000.0,300.871084,444.166223,0.0,12.0,4
27,4535.0,35.518273,0.909091,283.8,0.0,283.8,0.0,0.833333,0.0,0.75,0.0,0.0,10.0,2500.0,302.73613,171.008635,0.666667,12.0,4
28,7521.0,1497.129794,1.0,2571.48,1867.92,703.56,0.0,0.833333,0.333333,0.666667,0.0,0.0,26.0,2500.0,3177.11973,851.600335,0.0,12.0,1
29,7775.0,134.299115,0.909091,1059.18,0.0,1059.18,0.0,0.833333,0.0,0.833333,0.0,0.0,10.0,4000.0,1201.538972,159.033099,0.727273,12.0,4
30,8097.0,327.508171,0.875,2477.68,1419.31,1058.37,0.0,0.875,0.875,0.75,0.0,0.0,42.0,2000.0,1724.519418,129.61823,0.833333,8.0,1
31,1823.0,462.918623,1.0,3497.99,626.85,2871.14,0.0,1.0,0.416667,1.0,0.0,0.0,130.0,3000.0,3581.048471,174.461435,0.166667,12.0,1
32,2143.0,289.512368,1.0,4185.94,898.14,3287.8,0.0,1.0,0.666667,1.0,0.0,0.0,90.0,6000.0,3836.06844,175.475265,0.909091,12.0,1
33,4203.0,342.742855,1.0,3673.32,0.0,3673.32,0.0,1.0,0.0,1.0,0.0,0.0,12.0,4500.0,3353.963174,3605.839798,0.333333,12.0,4
34,4499.0,66.618088,1.0,544.0,0.0,544.0,0.0,1.0,0.0,1.0,0.0,0.0,16.0,3000.0,473.490702,183.99645,0.0,12.0,4
35,4987.0,4507.733288,1.0,4754.32,3636.53,1117.79,0.0,1.0,0.833333,0.75,0.0,0.0,43.0,9500.0,1924.73689,957.077692,0.0,12.0,1
36,5523.0,59.614155,0.818182,438.0,0.0,438.0,0.0,1.0,0.0,1.0,0.0,0.0,12.0,1500.0,525.046566,149.110815,0.090909,12.0,4
37,6065.0,432.915949,1.0,4430.17,3628.67,801.5,0.0,1.0,1.0,1.0,0.0,0.0,78.0,8500.0,4301.600928,186.739077,1.0,12.0,1
38,6067.0,51.640761,1.0,453.24,0.0,453.24,0.0,1.0,0.0,1.0,0.0,0.0,12.0,5000.0,507.364658,170.772711,0.363636,12.0,4
39,7059.0,243.590067,1.0,1995.25,410.21,1585.04,0.0,1.0,0.416667,1.0,0.0,0.0,49.0,5700.0,2413.9198,227.534843,0.166667,12.0,1
40,7285.0,3145.204423,1.0,3613.83,2752.76,861.07,0.0,1.0,0.416667,0.5,0.0,0.0,19.0,5700.0,1241.075833,1015.020218,0.0,12.0,1
41,8325.0,272.310015,1.0,575.3,220.34,354.96,0.0,1.0,0.083333,1.0,0.0,0.0,14.0,1500.0,354.086664,201.23698,0.0,12.0,1
42,8375.0,21.168201,1.0,236.4,8.4,228.0,0.0,1.0,1.0,1.0,0.0,0.0,24.0,2500.0,217.008342,178.169321,0.833333,12.0,1
43,8499.0,77.684147,1.0,431.28,0.0,431.28,0.0,1.0,0.0,0.875,0.0,0.0,8.0,1000.0,342.768161,108.523334,0.333333,8.0,4
44,8741.0,1136.796512,1.0,869.38,391.86,477.52,0.0,1.0,1.0,0.5,0.0,0.0,23.0,7000.0,1785.242525,418.490057,0.0,12.0,1
45,3359.0,1080.852036,1.0,0.0,0.0,0.0,48.919105,0.0,0.0,0.0,0.083333,1.0,0.0,1200.0,343.313124,254.04276,0.0,12.0,0
46,5411.0,18.288834,0.636364,0.0,0.0,0.0,149.6351,0.0,0.0,0.0,0.083333,1.0,0.0,3000.0,307.559683,76.436629,0.166667,12.0,0
47,6625.0,869.001444,1.0,0.0,0.0,0.0,278.591282,0.0,0.0,0.0,0.083333,1.0,0.0,1200.0,541.101815,286.374289,0.0,12.0,0
48,6621.0,2147.939753,0.818182,117.57,117.57,0.0,1022.23072,0.083333,0.083333,0.0,0.083333,2.0,2.0,8000.0,5441.876882,542.296729,0.1,12.0,0
49,8685.0,568.690902,1.0,103.68,103.68,0.0,455.053644,0.083333,0.083333,0.0,0.083333,1.0,4.0,7500.0,1555.880234,264.213167,0.0,12.0,3
50,3909.0,911.893997,1.0,1604.8,1527.3,77.5,1302.014616,0.25,0.25,0.083333,0.083333,2.0,11.0,4500.0,191.366024,307.812023,0.083333,12.0,2
51,5923.0,191.450711,1.0,1641.07,1641.07,0.0,380.972341,0.666667,0.666667,0.0,0.083333,1.0,15.0,500.0,1583.918811,137.046292,0.636364,12.0,3
52,2677.0,325.47428,1.0,3030.4,1358.32,1672.08,92.358043,1.0,1.0,0.916667,0.083333,2.0,76.0,3000.0,3117.11898,179.10451,1.0,12.0,1
53,3125.0,753.518771,0.636364,1737.87,249.12,1488.75,947.957969,1.0,0.083333,1.0,0.083333,1.0,27.0,2500.0,977.188809,313.922409,0.083333,12.0,2
54,7345.0,1832.096639,1.0,1560.21,1310.25,249.96,1862.018701,1.0,0.166667,1.0,0.083333,1.0,28.0,4000.0,60.712768,4958.944737,0.0,12.0,2
55,7647.0,8477.970766,1.0,4837.88,2945.5,1892.38,289.117803,1.0,0.333333,0.916667,0.083333,1.0,36.0,15500.0,3695.744108,2794.373573,0.0,12.0,2
56,8817.0,1724.2041,1.0,8371.19,4192.8,4178.39,959.946429,1.0,0.5,1.0,0.083333,1.0,87.0,3800.0,9582.782864,1805.370785,0.25,12.0,2
57,4985.0,1930.738051,0.9,0.0,0.0,0.0,2396.848186,0.0,0.0,0.0,0.1,2.0,0.0,2500.0,364.208749,710.889925,0.0,10.0,0
58,279.0,163.950974,0.777778,1014.21,264.42,749.79,268.071098,0.777778,0.444444,0.666667,0.111111,1.0,20.0,1500.0,938.36331,127.327376,0.6,9.0,1
59,1545.0,248.243958,0.272727,0.0,0.0,0.0,1423.527628,0.0,0.0,0.0,0.166667,3.0,0.0,3500.0,181.018701,341.269008,0.0,12.0,0
60,5163.0,4361.964176,1.0,0.0,0.0,0.0,288.451529,0.0,0.0,0.0,0.166667,2.0,0.0,4500.0,1041.187421,1583.295751,0.0,12.0,0
61,6507.0,722.855351,1.0,0.0,0.0,0.0,396.516695,0.0,0.0,0.0,0.166667,2.0,0.0,2500.0,187.058515,325.505999,0.0,12.0,0
62,8523.0,2064.106212,1.0,0.0,0.0,0.0,1497.565331,0.0,0.0,0.0,0.166667,4.0,0.0,3000.0,543.902356,647.508482,0.0,12.0,0
63,11.0,89.708187,1.0,1808.6,1808.6,0.0,450.417925,0.916667,0.916667,0.0,0.166667,3.0,26.0,7500.0,1890.186096,139.117341,0.444444,12.0,3
64,2433.0,649.896506,1.0,4919.76,4353.06,566.7,191.376535,0.916667,0.666667,0.833333,0.166667,3.0,48.0,6500.0,4854.34051,219.441278,0.166667,12.0,2
65,7437.0,1080.667451,1.0,3895.67,697.85,3197.82,135.404437,1.0,0.416667,1.0,0.166667,3.0,49.0,6500.0,2571.280305,314.038049,0.166667,12.0,2
66,4997.0,2632.469367,1.0,0.0,0.0,0.0,535.955512,0.0,0.0,0.0,0.25,4.0,0.0,3000.0,737.932369,736.750992,0.0,12.0,0
67,3283.0,475.301123,1.0,415.47,415.47,0.0,762.195411,0.166667,0.166667,0.0,0.25,3.0,2.0,7000.0,3965.150992,177.117122,0.0,12.0,3
68,89.0,1986.566642,0.875,551.06,551.06,0.0,2147.863293,0.375,0.375,0.0,0.25,7.0,11.0,2500.0,583.355186,1111.406948,0.0,8.0,2
69,8339.0,1329.967543,1.0,2009.12,1296.68,712.44,1763.794583,1.0,1.0,1.0,0.25,10.0,36.0,2500.0,2715.972095,956.330023,0.0,12.0,2
70,3935.0,3743.771094,1.0,368.44,128.67,239.77,1428.188333,0.9,0.2,0.7,0.3,3.0,11.0,7000.0,748.149925,767.438566,0.0,10.0,2
71,4231.0,6668.982024,1.0,0.0,0.0,0.0,2230.439984,0.0,0.0,0.0,0.333333,7.0,0.0,7500.0,1752.332514,2371.318646,0.0,12.0,0
72,6349.0,2533.618119,0.909091,5633.83,2985.92,2647.91,2451.807788,0.916667,0.5,0.75,0.333333,16.0,82.0,9000.0,8176.953944,602.963244,0.0,12.0,2
73,1745.0,3343.299372,1.0,790.8,0.0,790.8,5001.962631,1.0,0.0,1.0,0.333333,4.0,17.0,5000.0,1325.639966,848.308643,0.0,12.0,2
74,2761.0,1441.404242,0.4,0.0,0.0,0.0,7313.203925,0.0,0.0,0.0,0.4,5.0,0.0,8000.0,462.437204,856.401575,0.0,10.0,0
75,7989.0,1961.246269,1.0,0.0,0.0,0.0,233.246267,0.0,0.0,0.0,0.4,4.0,0.0,2000.0,422.017882,415.210454,0.0,10.0,0
76,1601.0,1544.279694,1.0,0.0,0.0,0.0,472.46147,0.0,0.0,0.0,0.416667,8.0,0.0,1600.0,771.903463,704.457126,0.0,12.0,0
77,2927.0,30.287602,0.818182,0.0,0.0,0.0,827.814406,0.0,0.0,0.0,0.416667,11.0,0.0,1000.0,963.269399,74.387702,0.166667,12.0,0
78,8771.0,5601.953934,1.0,0.0,0.0,0.0,3449.910317,0.0,0.0,0.0,0.416667,11.0,0.0,6000.0,1307.896832,1274.924905,0.0,12.0,0
79,5825.0,1722.910058,1.0,45.45,45.45,0.0,1654.212185,0.083333,0.083333,0.0,0.416667,5.0,2.0,4000.0,511.525617,439.577818,0.0,12.0,0
80,2351.0,1592.354384,1.0,736.26,425.62,310.64,3120.093926,0.833333,0.166667,0.583333,0.416667,6.0,11.0,6000.0,3636.148663,336.850732,0.0,12.0,2
81,7965.0,3857.278468,1.0,0.0,0.0,0.0,1238.047916,0.0,0.0,0.0,0.444444,6.0,0.0,4000.0,666.97848,635.614648,0.0,9.0,0
82,8459.0,532.805392,1.0,59.4,59.4,0.0,2734.176725,0.083333,0.083333,0.0,0.5,11.0,1.0,10000.0,1502.934235,213.16029,0.25,12.0,0
83,1213.0,3987.467435,1.0,146.53,45.0,101.53,2665.355738,0.416667,0.083333,0.25,0.5,8.0,6.0,6000.0,1316.698331,1252.705624,0.0,12.0,2
84,3069.0,2446.41139,1.0,1915.65,1332.91,582.74,4201.060262,0.75,0.25,0.666667,0.5,8.0,29.0,8500.0,4723.691364,629.361278,0.0,12.0,2
85,1485.0,3790.914663,1.0,2655.68,1607.63,1048.05,6263.883768,0.833333,0.333333,1.0,0.5,11.0,111.0,8300.0,6173.165264,1192.462873,0.083333,12.0,2
86,2555.0,5718.507585,1.0,4717.77,851.58,3866.19,3584.26549,1.0,0.416667,0.916667,0.5,10.0,85.0,6000.0,8880.955481,3629.253811,0.0,12.0,2
87,4453.0,851.249818,1.0,2000.0,2000.0,0.0,4085.845895,0.285714,0.285714,0.0,0.571429,12.0,4.0,1200.0,2246.792007,970.683654,0.285714,7.0,2
88,1871.0,1608.490095,1.0,91.0,46.0,45.0,1756.688037,0.5,0.083333,0.416667,0.583333,9.0,7.0,3000.0,492.928487,434.150222,0.0,12.0,2
89,7717.0,873.680279,1.0,2397.05,1072.46,1324.59,1657.160669,1.0,0.5,0.916667,0.583333,12.0,23.0,2500.0,2028.986135,297.682079,0.083333,12.0,2
90,437.0,5639.464394,1.0,717.18,399.15,318.03,3856.971744,0.416667,0.166667,0.25,0.75,16.0,7.0,7000.0,1460.652254,1540.175186,0.0,12.0,2
91,1209.0,210.993146,0.818182,90.51,90.51,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,1.0,6500.0,1240.766161,230.983088,0.0,12.0,3
92,4861.0,163.335524,0.545455,460.95,460.95,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,2.0,1500.0,162.939482,77.604225,0.0,12.0,3
93,4955.0,1096.949604,1.0,227.55,227.55,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,2.0,2500.0,397.836763,352.17313,0.0,12.0,3
94,5359.0,1.869435,0.454545,0.24,0.24,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,0.0,3000.0,150.381107,53.294711,0.0,12.0,3
95,6333.0,7.215615,0.272727,54.45,54.45,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,1.0,2000.0,160.130111,205.168209,0.0,12.0,3
96,5183.0,1523.552696,1.0,1810.0,1810.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,1.0,1850.0,368.561315,390.858281,0.0,10.0,3
97,6041.0,36.607995,0.545455,224.4,224.4,0.0,0.0,0.166667,0.166667,0.0,0.0,0.0,2.0,2100.0,372.093413,151.08003,0.0,12.0,3
98,7149.0,15.236618,0.272727,161.5,161.5,0.0,0.0,0.166667,0.166667,0.0,0.0,0.0,1.0,3000.0,912.737392,114.337421,0.0,12.0,3
99,903.0,15.810927,0.363636,246.29,246.29,0.0,0.0,0.181818,0.181818,0.0,0.0,0.0,4.0,500.0,149.886496,23.3231,0.0,11.0,3
100,6805.0,210.870503,1.0,664.05,664.05,0.0,0.0,0.2,0.2,0.0,0.0,0.0,5.0,7500.0,728.19268,140.348508,0.0,10.0,3
101,1171.0,6.104302,0.272727,134.97,0.0,134.97,0.0,0.25,0.0,0.25,0.0,0.0,6.0,4000.0,202.780964,42.148136,0.181818,12.0,4
102,1409.0,2719.639153,1.0,715.81,715.81,0.0,0.0,0.333333,0.333333,0.0,0.0,0.0,7.0,10000.0,694.102974,724.758705,0.0,12.0,3
103,3573.0,206.305547,1.0,1594.0,1084.0,510.0,0.0,0.333333,0.25,0.166667,0.0,0.0,10.0,4500.0,1605.613993,119.213806,0.090909,12.0,3
104,4107.0,1003.774921,1.0,161.27,161.27,0.0,0.0,0.333333,0.333333,0.0,0.0,0.0,8.0,1200.0,257.638043,368.466873,0.0,12.0,3
105,443.0,1173.949821,1.0,785.69,785.69,0.0,0.0,0.416667,0.416667,0.0,0.0,0.0,8.0,1200.0,473.659122,619.376955,0.0,12.0,3
106,623.0,0.0,0.0,350.48,0.0,350.48,0.0,0.416667,0.0,0.416667,0.0,0.0,5.0,2700.0,681.924724,120.42370860000001,0.0,12.0,4
107,7533.0,462.340941,1.0,125.0,0.0,125.0,0.0,0.416667,0.0,0.416667,0.0,0.0,5.0,500.0,250.788354,350.085005,0.0,12.0,4
108,69.0,4.686854,0.428571,28.8,0.0,28.8,0.0,0.428571,0.0,0.285714,0.0,0.0,3.0,1500.0,34.401591,60.436139,1.0,7.0,4
109,2737.0,5.404443,0.5,194.0,0.0,194.0,0.0,0.5,0.0,0.333333,0.0,0.0,3.0,1500.0,269.175108,34.59541,1.0,6.0,4
110,6503.0,384.803407,1.0,549.0,291.0,258.0,0.0,0.5,0.083333,0.416667,0.0,0.0,9.0,1000.0,569.597465,610.732047,0.0,12.0,3
111,4721.0,991.949111,1.0,945.43,945.43,0.0,0.0,0.583333,0.583333,0.0,0.0,0.0,10.0,1500.0,1448.269927,1950.911172,0.0,12.0,3
112,5145.0,3007.470055,1.0,102.48,0.0,102.48,0.0,0.583333,0.0,0.583333,0.0,0.0,28.0,3000.0,561.592591,1691.887852,0.0,12.0,4
113,8073.0,92.596405,1.0,720.11,720.11,0.0,0.0,0.583333,0.583333,0.0,0.0,0.0,16.0,1700.0,535.430352,193.498368,0.222222,12.0,3
114,1429.0,114.806604,1.0,675.0,0.0,675.0,0.0,0.666667,0.0,0.666667,0.0,0.0,12.0,1000.0,671.28341,211.872834,0.083333,12.0,4
115,2611.0,2191.369256,1.0,1197.2,869.06,328.14,0.0,0.666667,0.333333,0.416667,0.0,0.0,13.0,4500.0,1643.269684,603.954203,0.0,12.0,1
116,2719.0,1253.188317,1.0,320.34,0.0,320.34,0.0,0.666667,0.0,0.666667,0.0,0.0,11.0,1500.0,1229.226379,324.954747,0.0,12.0,4
117,4265.0,97.299991,1.0,427.67,0.0,427.67,0.0,0.666667,0.0,0.666667,0.0,0.0,8.0,2500.0,557.777752,173.099027,0.0,12.0,4
118,4767.0,738.067431,1.0,752.97,752.97,0.0,0.0,0.666667,0.666667,0.0,0.0,0.0,11.0,2500.0,1393.051729,282.663936,0.0,12.0,3
119,5973.0,1118.479084,1.0,325.95,203.96,121.99,0.0,0.666667,0.333333,0.25,0.0,0.0,9.0,2400.0,290.888289,369.130795,0.0,12.0,3
120,7091.0,8.447806,1.0,85.12,0.0,85.12,0.0,0.666667,0.0,0.583333,0.0,0.0,8.0,7000.0,100.258283,78.383013,0.454545,12.0,4
121,7235.0,123.791796,0.727273,1202.5,0.0,1202.5,0.0,0.666667,0.0,0.583333,0.0,0.0,41.0,2500.0,1623.347254,194.037041,0.833333,12.0,4
122,807.0,1101.656754,1.0,1398.21,1243.5,154.71,0.0,0.75,0.416667,0.416667,0.0,0.0,16.0,7000.0,257.24454,346.844936,0.0,12.0,1
123,5901.0,177.355165,0.909091,1179.3,997.3,182.0,0.0,0.75,0.5,0.416667,0.0,0.0,13.0,7500.0,815.01939,175.485133,0.714286,12.0,1
124,6421.0,95.162463,1.0,1000.0,0.0,1000.0,0.0,0.75,0.0,0.625,0.0,0.0,8.0,11500.0,824.871032,101.683837,0.8,8.0,4
125,7661.0,124.58001,0.818182,1302.02,0.0,1302.02,0.0,0.75,0.0,0.75,0.0,0.0,9.0,3000.0,1737.687605,162.034789,0.555556,12.0,4
126,1619.0,272.7004,1.0,3298.55,2520.55,778.0,0.0,0.833333,0.833333,0.166667,0.0,0.0,33.0,16000.0,3629.836534,194.460262,0.75,12.0,1
127,1633.0,499.751638,1.0,468.6,0.0,468.6,0.0,0.833333,0.0,0.75,0.0,0.0,10.0,1200.0,1092.978851,178.853712,0.083333,12.0,4
128,2101.0,109.473217,1.0,1251.26,635.79,615.47,0.0,0.833333,0.25,0.666667,0.0,0.0,19.0,2700.0,958.931815,187.560093,0.25,12.0,1
129,3127.0,1459.518449,1.0,393.82,134.07,259.75,0.0,0.916667,0.25,0.833333,0.0,0.0,35.0,1500.0,438.601342,848.38389,0.0,12.0,1
130,3439.0,1518.339584,1.0,1435.79,762.12,673.67,0.0,0.916667,0.333333,0.75,0.0,0.0,27.0,1500.0,1075.686261,1136.154471,0.0,12.0,1
131,8457.0,44.505527,1.0,401.76,0.0,401.76,0.0,0.916667,0.0,0.916667,0.0,0.0,12.0,1500.0,291.089279,165.163582,0.6,12.0,4
132,527.0,75.520764,1.0,210.48,0.0,210.48,0.0,1.0,0.0,0.875,0.0,0.0,8.0,1000.0,81.986811,108.030031,0.0,8.0,4
133,1707.0,3177.232656,1.0,5877.73,5430.68,447.05,0.0,1.0,1.0,1.0,0.0,0.0,100.0,6000.0,6686.89278,1475.596139,0.0,12.0,1
134,2289.0,1060.420992,1.0,480.22,295.63,184.59,0.0,1.0,0.25,0.916667,0.0,0.0,17.0,4200.0,2398.956105,342.2675,0.0,12.0,1
135,2709.0,776.919827,1.0,11522.9,11146.28,376.62,0.0,1.0,1.0,0.416667,0.0,0.0,68.0,4500.0,11082.51429,237.006434,0.916667,12.0,1
136,2979.0,2765.748281,1.0,7283.31,5087.31,2196.0,0.0,1.0,1.0,0.666667,0.0,0.0,77.0,11000.0,14373.3929,1058.128452,0.25,12.0,1
137,3075.0,292.688812,1.0,2815.82,2047.65,768.17,0.0,1.0,1.0,1.0,0.0,0.0,71.0,7000.0,4382.773241,206.099083,0.5,12.0,1
138,3373.0,1256.81927,1.0,1674.96,0.0,1674.96,0.0,1.0,0.0,1.0,0.0,0.0,12.0,1000.0,970.361646,3449.118706,0.0,12.0,4
139,3455.0,2986.422406,1.0,5132.08,4664.84,467.24,0.0,1.0,1.0,0.583333,0.0,0.0,66.0,10000.0,11454.46623,910.850489,0.0,12.0,1
140,3851.0,598.423093,1.0,5835.57,3974.7,1860.87,0.0,1.0,0.833333,0.75,0.0,0.0,53.0,9000.0,6083.426724,204.763572,0.916667,12.0,1
141,4277.0,0.0,0.0,271.56,0.0,271.56,0.0,1.0,0.0,1.0,0.0,0.0,12.0,2000.0,282.699746,153.0869894,0.0,12.0,4
142,4747.0,10495.73934,1.0,5038.27,1940.88,3097.39,0.0,1.0,0.5,1.0,0.0,0.0,108.0,14500.0,2564.857063,4606.755937,0.0,12.0,1
143,5773.0,236.507753,1.0,2692.65,2072.32,620.33,0.0,1.0,1.0,0.583333,0.0,0.0,45.0,1500.0,2375.560677,178.352824,1.0,12.0,1
144,6347.0,1273.498021,1.0,449.28,0.0,449.28,0.0,1.0,0.0,1.0,0.0,0.0,12.0,1200.0,475.727103,4224.383226,0.0,12.0,4
145,6733.0,26.572803,1.0,277.33,0.0,277.33,0.0,1.0,0.0,0.916667,0.0,0.0,17.0,6000.0,258.265698,129.984016,1.0,12.0,4
146,6797.0,87.540559,1.0,885.13,0.0,885.13,0.0,1.0,0.0,1.0,0.0,0.0,21.0,6000.0,801.593051,186.251245,0.916667,12.0,4
147,7409.0,14.5923,1.0,200.4,0.0,200.4,0.0,1.0,0.0,1.0,0.0,0.0,12.0,4000.0,196.541494,156.086837,0.454545,12.0,4
148,8337.0,171.402357,1.0,755.5,0.0,755.5,0.0,1.0,0.0,1.0,0.0,0.0,35.0,2700.0,845.857679,161.590149,0.0,12.0,4
149,8673.0,5.135703,0.181818,323.71,0.0,323.71,0.0,1.0,0.0,1.0,0.0,0.0,17.0,1500.0,219.996991,27.362336,0.083333,12.0,4
150,1895.0,1132.282217,1.0,0.0,0.0,0.0,68.520455,0.0,0.0,0.0,0.083333,1.0,0.0,1200.0,281.613657,240.366583,0.0,12.0,0
151,6737.0,229.272651,0.363636,0.0,0.0,0.0,751.963727,0.0,0.0,0.0,0.083333,1.0,0.0,1200.0,12.773144,312.967911,0.0,12.0,0
152,7309.0,1063.614099,1.0,0.0,0.0,0.0,196.616463,0.0,0.0,0.0,0.083333,1.0,0.0,1200.0,206.505212,316.230814,0.0,12.0,0
153,1337.0,97.453056,0.818182,334.73,334.73,0.0,19.551802,0.083333,0.083333,0.0,0.083333,1.0,1.0,2500.0,234.271939,117.297542,0.25,12.0,3
154,2609.0,1386.949394,1.0,227.56,177.56,50.0,960.590608,0.083333,0.083333,0.083333,0.083333,6.0,2.0,3000.0,319.354,388.368299,0.0,12.0,0
155,3989.0,2762.340044,1.0,2372.98,2372.98,0.0,1465.082446,0.166667,0.166667,0.0,0.083333,1.0,5.0,4500.0,659.726225,874.537967,0.0,12.0,3
156,1665.0,250.258381,0.727273,486.94,486.94,0.0,1131.986387,0.25,0.25,0.0,0.083333,1.0,3.0,4500.0,2837.08595,130.716778,0.333333,12.0,3
157,6273.0,2297.696272,1.0,2764.0,2590.0,174.0,284.17727,0.416667,0.25,0.25,0.083333,1.0,9.0,6000.0,651.887762,800.040356,0.0,12.0,2
158,5985.0,799.274442,1.0,906.81,449.65,457.16,730.50642,0.916667,0.583333,0.75,0.083333,2.0,29.0,1000.0,1590.918593,1227.773229,0.083333,12.0,2
159,5845.0,4988.093733,1.0,8581.29,4640.84,3940.45,225.473003,1.0,0.666667,1.0,0.083333,1.0,94.0,10500.0,1571.883,1133.733957,0.0,12.0,1
